geneSymbols	corR	corS
TTLL12	-0.065670	-0.079263
COX6C	0.410285	0.421479
SPARC	0.036526	0.009337
TFF3	-0.203955	-0.190565
CD24	0.079874	0.079956
B2M	-0.125440	-0.112966
FASN	-0.011867	-0.016762
ATP1A1	0.045234	0.042128
CD74	0.034148	0.033231
HSP90AB1	-0.110096	-0.099794
CD81	-0.100676	-0.094912
CD63	-0.009728	-0.011873
