,Gene,Method,Pearson correlation,Slide,Kind,Unnamed: 0,level_0,index
4,ATP1A1,BLEEP,0.2067940818755317,FFPE,Testing performance,,,
5,B2M,BLEEP,-0.0357224893236511,FFPE,Testing performance,,,
6,FASN,BLEEP,-0.2400753023836795,FFPE,Testing performance,,,
7,SPARC,BLEEP,-0.0713124827578902,FFPE,Testing performance,,,
8,CD74,BLEEP,0.2758491006917057,FFPE,Testing performance,,,
9,CD63,BLEEP,0.0667576083158848,FFPE,Testing performance,,,
10,CD24,BLEEP,0.1460783302831336,FFPE,Testing performance,,,
11,CD81,BLEEP,0.0856608423458939,FFPE,Testing performance,,,
0,COX6C,BLEEP,0.1266409581645438,block1,Testing performance,,,
1,TTLL12,BLEEP,0.1139764690485903,block1,Testing performance,,,
2,HSP90AB1,BLEEP,0.3430785368395976,block1,Testing performance,,,
3,TFF3,BLEEP,-0.0732225833091068,block1,Testing performance,,,
4,ATP1A1,BLEEP,0.2513653260460075,block1,Testing performance,,,
5,B2M,BLEEP,0.3526518253768931,block1,Testing performance,,,
6,FASN,BLEEP,0.2412461952399386,block1,Testing performance,,,
7,SPARC,BLEEP,0.2168069058045557,block1,Testing performance,,,
8,CD74,BLEEP,0.2531741095588088,block1,Testing performance,,,
9,CD63,BLEEP,0.3397271431414106,block1,Testing performance,,,
10,CD24,BLEEP,0.2649906323114482,block1,Testing performance,,,
11,CD81,BLEEP,0.2877103019342219,block1,Testing performance,,,
0,COX6C,BLEEP,0.1838961426076271,block2,Testing performance,,,
1,TTLL12,BLEEP,0.1435128950631347,block2,Testing performance,,,
2,HSP90AB1,BLEEP,0.3673339820286618,block2,Testing performance,,,
3,TFF3,BLEEP,-0.1480359467691685,block2,Testing performance,,,
4,ATP1A1,BLEEP,0.2297265351341168,block2,Testing performance,,,
5,B2M,BLEEP,0.1444339313977273,block2,Testing performance,,,
6,FASN,BLEEP,0.1767602274715805,block2,Testing performance,,,
7,SPARC,BLEEP,0.216834202925145,block2,Testing performance,,,
8,CD74,BLEEP,0.1418775495064567,block2,Testing performance,,,
9,CD63,BLEEP,0.3984990356895187,block2,Testing performance,,,
10,CD24,BLEEP,0.2403684714411628,block2,Testing performance,,,
11,CD81,BLEEP,0.1832688487765675,block2,Testing performance,,,
