,Pearson correlation,Gene,Slide,Method
CENPF,0.2369171235186677,CENPF,block2,Hist2ST
KCTD3,0.31285170002021095,KCTD3,block2,Hist2ST
LYPLAL1,0.25320267384222517,LYPLAL1,block2,Hist2ST
IARS2,0.23836097334129228,IARS2,block2,Hist2ST
CNIH4,0.3008103830046569,CNIH4,block2,Hist2ST
NUP133,0.26141961907696976,NUP133,block2,Hist2ST
ARID4B,0.16307139800756862,ARID4B,block2,Hist2ST
CHML,0.16682216269597042,CHML,block2,Hist2ST
SCCPDH,0.20201724067978408,SCCPDH,block2,Hist2ST
GATA3,0.1891611956020428,GATA3,block2,Hist2ST
FAM107B,0.2362789027841017,FAM107B,block2,Hist2ST
HSPA14,0.08406140082406682,HSPA14,block2,Hist2ST
NEBL,0.2880598137220081,NEBL,block2,Hist2ST
BAMBI,0.03841249582170858,BAMBI,block2,Hist2ST
ARHGAP12,0.18213364904912838,ARHGAP12,block2,Hist2ST
DKK1,-0.015206767808257901,DKK1,block2,Hist2ST
ZWINT,0.19199046183694338,ZWINT,block2,Hist2ST
ANK3,0.1291004371252891,ANK3,block2,Hist2ST
CDK1,0.23324942465167142,CDK1,block2,Hist2ST
HERC4,0.21221232268724338,HERC4,block2,Hist2ST
SRGN,0.14629916746815996,SRGN,block2,Hist2ST
H2AFY2,0.11933390668656066,H2AFY2,block2,Hist2ST
ADK,0.12129569563652685,ADK,block2,Hist2ST
DLG5,0.1936833031424964,DLG5,block2,Hist2ST
PLAC9,0.11589577424952448,PLAC9,block2,Hist2ST
GHITM,0.2071357179251663,GHITM,block2,Hist2ST
SNCG,-0.04871461574675456,SNCG,block2,Hist2ST
ADIRF,-0.0074942900680937926,ADIRF,block2,Hist2ST
IFIT3,0.1589884040192626,IFIT3,block2,Hist2ST
FRA10AC1,0.13613594911637214,FRA10AC1,block2,Hist2ST
EXOSC1,0.24034375866755828,EXOSC1,block2,Hist2ST
SCD,0.20394971716779828,SCD,block2,Hist2ST
ARL3,0.21645447521797517,ARL3,block2,Hist2ST
ADD3,0.13328539225256772,ADD3,block2,Hist2ST
FAM204A,0.23527767661552823,FAM204A,block2,Hist2ST
NSMCE4A,0.20936959358536397,NSMCE4A,block2,Hist2ST
OAT,0.018575283965235282,OAT,block2,Hist2ST
GLRX3,0.20909120863806396,GLRX3,block2,Hist2ST
IFITM2,0.10081124845674362,IFITM2,block2,Hist2ST
TRIM22,0.15370286632415056,TRIM22,block2,Hist2ST
DKK3,0.05687084174106445,DKK3,block2,Hist2ST
SAA1,0.03219794998228052,SAA1,block2,Hist2ST
TSG101,0.2595716556092726,TSG101,block2,Hist2ST
SVIP,0.16114495527962833,SVIP,block2,Hist2ST
CAPRIN1,0.20020151202949513,CAPRIN1,block2,Hist2ST
API5,0.21778255996460696,API5,block2,Hist2ST
MTCH2,0.24167555836541857,MTCH2,block2,Hist2ST
UBE2L6,0.20400011818362765,UBE2L6,block2,Hist2ST
MPEG1,0.0909256034175002,MPEG1,block2,Hist2ST
MS4A7,0.03361381368884127,MS4A7,block2,Hist2ST
TMEM258,0.23981017811756056,TMEM258,block2,Hist2ST
CST6,-0.02333925662221949,CST6,block2,Hist2ST
ALDH3B2,0.1953848913996227,ALDH3B2,block2,Hist2ST
TESMIN,0.182806246941901,TESMIN,block2,Hist2ST
CCND1,0.2649394133918313,CCND1,block2,Hist2ST
ANO1,0.3440363664400698,ANO1,block2,Hist2ST
FADD,0.31001035635723667,FADD,block2,Hist2ST
CTTN,0.2671662989565072,CTTN,block2,Hist2ST
PRSS23,-0.0011431102990702364,PRSS23,block2,Hist2ST
BIRC3,0.14016781881020304,BIRC3,block2,Hist2ST
MMP1,0.039831527887407625,MMP1,block2,Hist2ST
CASP4,0.0962211329512469,CASP4,block2,Hist2ST
CD3D,0.15936691431432715,CD3D,block2,Hist2ST
THYN1,0.13181999739323924,THYN1,block2,Hist2ST
SCNN1A,0.09313897854707089,SCNN1A,block2,Hist2ST
MAGOHB,0.25635956783760483,MAGOHB,block2,Hist2ST
GPRC5A,0.11273630093211277,GPRC5A,block2,Hist2ST
MGP,-0.25009064883151094,MGP,block2,Hist2ST
C12orf60,0.020672634187827037,C12orf60,block2,Hist2ST
ITPR2,0.0950830070293286,ITPR2,block2,Hist2ST
ZCRB1,0.21975240580065974,ZCRB1,block2,Hist2ST
FAIM2,0.10552613466126912,FAIM2,block2,Hist2ST
NR4A1,0.08002320130016331,NR4A1,block2,Hist2ST
KRT81,0.0058006787483426865,KRT81,block2,Hist2ST
PPP1R1A,-0.004438551262808338,PPP1R1A,block2,Hist2ST
MUCL1,0.0012799692019557502,MUCL1,block2,Hist2ST
NUP107,0.2281258689686668,NUP107,block2,Hist2ST
LYZ,0.14036291072386026,LYZ,block2,Hist2ST
DUSP6,0.004846729769254446,DUSP6,block2,Hist2ST
ATP2B1,0.12722609768201046,ATP2B1,block2,Hist2ST
LUM,0.11989198996913993,LUM,block2,Hist2ST
DCN,0.15293872572179962,DCN,block2,Hist2ST
EEA1,0.07983433121273065,EEA1,block2,Hist2ST
NTN4,0.0003929817638956869,NTN4,block2,Hist2ST
TMPO,0.26244214988874043,TMPO,block2,Hist2ST
ARL1,0.21407336915958927,ARL1,block2,Hist2ST
CHPT1,0.12075724787524124,CHPT1,block2,Hist2ST
SYCP3,-0.014605069671250439,SYCP3,block2,Hist2ST
PWP1,0.22486892385828272,PWP1,block2,Hist2ST
TCTN1,0.1829862027812638,TCTN1,block2,Hist2ST
MAPKAPK5,0.18152579715932293,MAPKAPK5,block2,Hist2ST
OAS1,0.1907646854617296,OAS1,block2,Hist2ST
OAS2,0.1951642757468287,OAS2,block2,Hist2ST
TBX3,0.21845425266815327,TBX3,block2,Hist2ST
OASL,-0.07201639776743181,OASL,block2,Hist2ST
ZNF664,0.2744021232548227,ZNF664,block2,Hist2ST
ZNF84,0.1836520569185315,ZNF84,block2,Hist2ST
PSPC1,0.18807770980923333,PSPC1,block2,Hist2ST
HMGB1,0.1429110552367339,HMGB1,block2,Hist2ST
DCLK1,-0.01737409908361968,DCLK1,block2,Hist2ST
DNAJC15,0.2379148526045707,DNAJC15,block2,Hist2ST
RNASEH2B,0.18978866596596833,RNASEH2B,block2,Hist2ST
COMMD6,0.2172400006040865,COMMD6,block2,Hist2ST
FARP1,0.21251158079449214,FARP1,block2,Hist2ST
MCF2L,0.16380025096108766,MCF2L,block2,Hist2ST
