,Pearson correlation,Gene,Slide,Method
PTPRC,0.038768354224006984,PTPRC,1142243F,HisToGene
UBE2T,0.059084560506825756,UBE2T,1142243F,HisToGene
NUCKS1,0.040833056061992515,NUCKS1,1142243F,HisToGene
ATF3,0.01598142754960113,ATF3,1142243F,HisToGene
CENPF,0.06138269117743529,CENPF,1142243F,HisToGene
KCTD3,0.05093757919840509,KCTD3,1142243F,HisToGene
LYPLAL1,0.061702988934317735,LYPLAL1,1142243F,HisToGene
IARS2,0.029328027454391496,IARS2,1142243F,HisToGene
CNIH4,0.012066756642326579,CNIH4,1142243F,HisToGene
NUP133,0.04112627720697762,NUP133,1142243F,HisToGene
ARID4B,0.03826243866078193,ARID4B,1142243F,HisToGene
CHML,0.017723095850198642,CHML,1142243F,HisToGene
SCCPDH,0.019212136851093665,SCCPDH,1142243F,HisToGene
GATA3,0.01844982348789626,GATA3,1142243F,HisToGene
FAM107B,0.08075456817472965,FAM107B,1142243F,HisToGene
HSPA14,0.042080969235543386,HSPA14,1142243F,HisToGene
NEBL,0.010977369306357353,NEBL,1142243F,HisToGene
BAMBI,0.009600851074818496,BAMBI,1142243F,HisToGene
ARHGAP12,0.006044882693124456,ARHGAP12,1142243F,HisToGene
DKK1,0.07981210599842749,DKK1,1142243F,HisToGene
ZWINT,0.048418096619807935,ZWINT,1142243F,HisToGene
ANK3,0.019046764650370248,ANK3,1142243F,HisToGene
CDK1,0.05663722122351149,CDK1,1142243F,HisToGene
HERC4,0.042709687916387656,HERC4,1142243F,HisToGene
SRGN,0.07635717864081693,SRGN,1142243F,HisToGene
H2AFY2,0.04191140305035622,H2AFY2,1142243F,HisToGene
ADK,-0.006529231470516818,ADK,1142243F,HisToGene
DLG5,0.052642455012215254,DLG5,1142243F,HisToGene
PLAC9,0.024221826597114547,PLAC9,1142243F,HisToGene
GHITM,0.015559715628681258,GHITM,1142243F,HisToGene
SNCG,0.030096998502885525,SNCG,1142243F,HisToGene
ADIRF,0.035649682687571606,ADIRF,1142243F,HisToGene
IFIT3,0.040839287648476566,IFIT3,1142243F,HisToGene
FRA10AC1,0.03912002949945384,FRA10AC1,1142243F,HisToGene
EXOSC1,0.03437576858658536,EXOSC1,1142243F,HisToGene
SCD,0.044202124538887055,SCD,1142243F,HisToGene
ARL3,0.03264137390678599,ARL3,1142243F,HisToGene
ADD3,0.06393050691529986,ADD3,1142243F,HisToGene
FAM204A,0.08864421355058771,FAM204A,1142243F,HisToGene
NSMCE4A,0.0560962851106368,NSMCE4A,1142243F,HisToGene
OAT,0.017684566566099607,OAT,1142243F,HisToGene
GLRX3,0.055552950595324335,GLRX3,1142243F,HisToGene
IFITM2,0.10011812059610568,IFITM2,1142243F,HisToGene
TRIM22,0.029100977646069413,TRIM22,1142243F,HisToGene
DKK3,0.05125306808695832,DKK3,1142243F,HisToGene
SAA1,-0.06859642062180482,SAA1,1142243F,HisToGene
TSG101,0.022396251460574043,TSG101,1142243F,HisToGene
SVIP,0.030076031665286867,SVIP,1142243F,HisToGene
CAPRIN1,0.049171244764338456,CAPRIN1,1142243F,HisToGene
API5,0.06359510698320392,API5,1142243F,HisToGene
MTCH2,0.065754238491082,MTCH2,1142243F,HisToGene
UBE2L6,0.03519213128486962,UBE2L6,1142243F,HisToGene
MPEG1,0.02951406848856537,MPEG1,1142243F,HisToGene
MS4A7,0.06916411596594832,MS4A7,1142243F,HisToGene
TMEM258,0.039003275115318765,TMEM258,1142243F,HisToGene
CST6,0.011693231884531613,CST6,1142243F,HisToGene
ALDH3B2,0.012741035203257426,ALDH3B2,1142243F,HisToGene
TESMIN,0.043604175339810744,TESMIN,1142243F,HisToGene
CCND1,-0.07107914299322321,CCND1,1142243F,HisToGene
ANO1,0.03819976575737709,ANO1,1142243F,HisToGene
FADD,0.04383066173438291,FADD,1142243F,HisToGene
CTTN,0.03511571126313294,CTTN,1142243F,HisToGene
PRSS23,0.07775499283295861,PRSS23,1142243F,HisToGene
BIRC3,0.026118413304035373,BIRC3,1142243F,HisToGene
MMP1,0.016850399507925627,MMP1,1142243F,HisToGene
CASP4,-0.00611005903771784,CASP4,1142243F,HisToGene
CD3D,0.051871881377382946,CD3D,1142243F,HisToGene
THYN1,0.03858937260250171,THYN1,1142243F,HisToGene
SCNN1A,0.052839837358376565,SCNN1A,1142243F,HisToGene
MAGOHB,0.03880962169744953,MAGOHB,1142243F,HisToGene
GPRC5A,0.021605313051402703,GPRC5A,1142243F,HisToGene
MGP,0.016908523455980574,MGP,1142243F,HisToGene
C12orf60,0.024998689976438768,C12orf60,1142243F,HisToGene
ITPR2,0.05724599949763578,ITPR2,1142243F,HisToGene
ZCRB1,0.014294225844162234,ZCRB1,1142243F,HisToGene
FAIM2,0.005672660781190438,FAIM2,1142243F,HisToGene
NR4A1,0.04516319240306246,NR4A1,1142243F,HisToGene
KRT81,0.003224421361743707,KRT81,1142243F,HisToGene
PPP1R1A,0.012466306623198246,PPP1R1A,1142243F,HisToGene
MUCL1,0.002715546700562649,MUCL1,1142243F,HisToGene
NUP107,0.03143234742491151,NUP107,1142243F,HisToGene
LYZ,0.07428579913802015,LYZ,1142243F,HisToGene
DUSP6,0.010349055648352048,DUSP6,1142243F,HisToGene
ATP2B1,0.019663531455473556,ATP2B1,1142243F,HisToGene
LUM,0.14124063426628763,LUM,1142243F,HisToGene
DCN,0.10995037586720056,DCN,1142243F,HisToGene
EEA1,0.08565079197489421,EEA1,1142243F,HisToGene
NTN4,0.04060274361528425,NTN4,1142243F,HisToGene
TMPO,0.09736733216601015,TMPO,1142243F,HisToGene
ARL1,0.03405070517136843,ARL1,1142243F,HisToGene
CHPT1,-0.001370487683831783,CHPT1,1142243F,HisToGene
SYCP3,-0.003994810502307553,SYCP3,1142243F,HisToGene
PWP1,0.03632856175895848,PWP1,1142243F,HisToGene
TCTN1,0.03140993670833148,TCTN1,1142243F,HisToGene
MAPKAPK5,0.039431869209946006,MAPKAPK5,1142243F,HisToGene
OAS1,0.057026795565088634,OAS1,1142243F,HisToGene
OAS2,0.023694662153446112,OAS2,1142243F,HisToGene
TBX3,0.05675150147654506,TBX3,1142243F,HisToGene
OASL,0.03208034438562956,OASL,1142243F,HisToGene
ZNF664,0.05452812552523584,ZNF664,1142243F,HisToGene
ZNF84,0.047211854772525305,ZNF84,1142243F,HisToGene
PSPC1,-0.007032514936682204,PSPC1,1142243F,HisToGene
HMGB1,0.07244778516104591,HMGB1,1142243F,HisToGene
DCLK1,0.002561321347551233,DCLK1,1142243F,HisToGene
DNAJC15,0.058880884654358145,DNAJC15,1142243F,HisToGene
RNASEH2B,0.019026850172571358,RNASEH2B,1142243F,HisToGene
COMMD6,0.05378720592852501,COMMD6,1142243F,HisToGene
FARP1,0.045874663428729576,FARP1,1142243F,HisToGene
MCF2L,0.060601368302451455,MCF2L,1142243F,HisToGene
NGDN,0.04257783449429534,NGDN,1142243F,HisToGene
RABGGTA,0.029478704359993006,RABGGTA,1142243F,HisToGene
SCFD1,0.06292201563674316,SCFD1,1142243F,HisToGene
BAZ1A,0.03257787831431138,BAZ1A,1142243F,HisToGene
