,Pearson correlation,Gene,Slide,Method
PTPRC,-0.3305180821635788,PTPRC,CID44971,HisToGene
UBE2T,0.31624701154548046,UBE2T,CID44971,HisToGene
NUCKS1,0.4357552867657447,NUCKS1,CID44971,HisToGene
ATF3,-0.15405762354709418,ATF3,CID44971,HisToGene
CENPF,0.23212867008790833,CENPF,CID44971,HisToGene
KCTD3,0.182366242877711,KCTD3,CID44971,HisToGene
LYPLAL1,0.2693347779650464,LYPLAL1,CID44971,HisToGene
IARS2,0.31770861301615116,IARS2,CID44971,HisToGene
CNIH4,0.3412013035365835,CNIH4,CID44971,HisToGene
NUP133,0.29245371425331523,NUP133,CID44971,HisToGene
ARID4B,0.1455310721381756,ARID4B,CID44971,HisToGene
CHML,0.17728522067949937,CHML,CID44971,HisToGene
SCCPDH,0.10798145846713332,SCCPDH,CID44971,HisToGene
GATA3,0.24367432295680985,GATA3,CID44971,HisToGene
FAM107B,0.3253009285728829,FAM107B,CID44971,HisToGene
HSPA14,0.13016161362751588,HSPA14,CID44971,HisToGene
NEBL,0.10062290247019583,NEBL,CID44971,HisToGene
BAMBI,0.22320218234917205,BAMBI,CID44971,HisToGene
ARHGAP12,0.058228423208413364,ARHGAP12,CID44971,HisToGene
DKK1,-0.15003950910922584,DKK1,CID44971,HisToGene
ZWINT,0.23403758257119986,ZWINT,CID44971,HisToGene
ANK3,-0.005822551900409125,ANK3,CID44971,HisToGene
CDK1,0.22254298525233104,CDK1,CID44971,HisToGene
HERC4,0.05726929416083384,HERC4,CID44971,HisToGene
SRGN,-0.3292918303662528,SRGN,CID44971,HisToGene
H2AFY2,0.2231498549329384,H2AFY2,CID44971,HisToGene
ADK,0.15434826198799342,ADK,CID44971,HisToGene
DLG5,0.174544692563104,DLG5,CID44971,HisToGene
PLAC9,-0.012815302229211081,PLAC9,CID44971,HisToGene
GHITM,0.36960861807667544,GHITM,CID44971,HisToGene
SNCG,0.023012903104008484,SNCG,CID44971,HisToGene
ADIRF,0.120882201376837,ADIRF,CID44971,HisToGene
IFIT3,-0.05552815206607376,IFIT3,CID44971,HisToGene
FRA10AC1,0.1327761569678234,FRA10AC1,CID44971,HisToGene
EXOSC1,0.23086192911188055,EXOSC1,CID44971,HisToGene
SCD,0.3552839707549079,SCD,CID44971,HisToGene
ARL3,0.2501893477090532,ARL3,CID44971,HisToGene
ADD3,-0.032308052679854614,ADD3,CID44971,HisToGene
FAM204A,0.2277182858048843,FAM204A,CID44971,HisToGene
NSMCE4A,0.18166500384560105,NSMCE4A,CID44971,HisToGene
OAT,-0.2755957770989348,OAT,CID44971,HisToGene
GLRX3,0.2662510565347792,GLRX3,CID44971,HisToGene
IFITM2,-0.10712184619501758,IFITM2,CID44971,HisToGene
TRIM22,-0.23831333096783705,TRIM22,CID44971,HisToGene
DKK3,-0.03696204042088781,DKK3,CID44971,HisToGene
SAA1,-0.04092378387482807,SAA1,CID44971,HisToGene
TSG101,0.2743481844763792,TSG101,CID44971,HisToGene
SVIP,0.32101696059050666,SVIP,CID44971,HisToGene
CAPRIN1,0.30916657147967014,CAPRIN1,CID44971,HisToGene
API5,0.26782260479983194,API5,CID44971,HisToGene
MTCH2,0.37301470721333607,MTCH2,CID44971,HisToGene
UBE2L6,0.08252753901354729,UBE2L6,CID44971,HisToGene
MPEG1,-0.24738363823900586,MPEG1,CID44971,HisToGene
MS4A7,-0.15687541776576225,MS4A7,CID44971,HisToGene
TMEM258,0.4016752219172295,TMEM258,CID44971,HisToGene
CST6,-0.0527369231240637,CST6,CID44971,HisToGene
ALDH3B2,0.19693929148170125,ALDH3B2,CID44971,HisToGene
TESMIN,0.11348109904961169,TESMIN,CID44971,HisToGene
CCND1,0.5023813437787739,CCND1,CID44971,HisToGene
ANO1,0.08111182948124297,ANO1,CID44971,HisToGene
FADD,0.1800766064263354,FADD,CID44971,HisToGene
CTTN,0.31636360955974546,CTTN,CID44971,HisToGene
PRSS23,-0.057182282356259384,PRSS23,CID44971,HisToGene
BIRC3,-0.24383837802584135,BIRC3,CID44971,HisToGene
MMP1,0.08953489616083417,MMP1,CID44971,HisToGene
CASP4,-0.2027866672923374,CASP4,CID44971,HisToGene
CD3D,-0.20549156618895417,CD3D,CID44971,HisToGene
THYN1,-0.007901945803531549,THYN1,CID44971,HisToGene
SCNN1A,0.10013417026369323,SCNN1A,CID44971,HisToGene
MAGOHB,0.3582086732182279,MAGOHB,CID44971,HisToGene
GPRC5A,0.04668634629253574,GPRC5A,CID44971,HisToGene
MGP,0.2934505951834892,MGP,CID44971,HisToGene
C12orf60,0.055650489280251174,C12orf60,CID44971,HisToGene
ITPR2,0.07224180953308111,ITPR2,CID44971,HisToGene
ZCRB1,0.19824136981745777,ZCRB1,CID44971,HisToGene
FAIM2,0.045808246073689045,FAIM2,CID44971,HisToGene
NR4A1,0.2152147874334643,NR4A1,CID44971,HisToGene
KRT81,0.09032737936471721,KRT81,CID44971,HisToGene
PPP1R1A,-0.13601927536897046,PPP1R1A,CID44971,HisToGene
MUCL1,-0.22824458256040311,MUCL1,CID44971,HisToGene
NUP107,0.25274841801491094,NUP107,CID44971,HisToGene
LYZ,0.03825673866755146,LYZ,CID44971,HisToGene
DUSP6,-0.06274582847566594,DUSP6,CID44971,HisToGene
ATP2B1,0.08008422944747891,ATP2B1,CID44971,HisToGene
LUM,-0.22528499188034878,LUM,CID44971,HisToGene
DCN,-0.089998696163399,DCN,CID44971,HisToGene
EEA1,0.055225462168172375,EEA1,CID44971,HisToGene
NTN4,0.004805114901706485,NTN4,CID44971,HisToGene
TMPO,0.3495573188142569,TMPO,CID44971,HisToGene
ARL1,0.3325728286228047,ARL1,CID44971,HisToGene
CHPT1,0.139772770580248,CHPT1,CID44971,HisToGene
SYCP3,-0.02068053619301112,SYCP3,CID44971,HisToGene
PWP1,0.23930425820649756,PWP1,CID44971,HisToGene
TCTN1,0.09915883067456087,TCTN1,CID44971,HisToGene
MAPKAPK5,0.18313105169585103,MAPKAPK5,CID44971,HisToGene
OAS1,0.0025599772738168825,OAS1,CID44971,HisToGene
OAS2,0.019886705329518455,OAS2,CID44971,HisToGene
TBX3,-0.002169319582467713,TBX3,CID44971,HisToGene
OASL,0.00835938938966848,OASL,CID44971,HisToGene
ZNF664,0.3324089387760305,ZNF664,CID44971,HisToGene
ZNF84,0.1733576530121338,ZNF84,CID44971,HisToGene
PSPC1,0.02370958045184528,PSPC1,CID44971,HisToGene
HMGB1,0.28538153512805964,HMGB1,CID44971,HisToGene
DCLK1,-0.11330395432765153,DCLK1,CID44971,HisToGene
DNAJC15,0.2717239754287302,DNAJC15,CID44971,HisToGene
RNASEH2B,0.16469976589996946,RNASEH2B,CID44971,HisToGene
COMMD6,0.39446477116378464,COMMD6,CID44971,HisToGene
FARP1,0.27126034275815053,FARP1,CID44971,HisToGene
MCF2L,0.0005272572612614538,MCF2L,CID44971,HisToGene
NGDN,0.1618269806900168,NGDN,CID44971,HisToGene
RABGGTA,0.1866399142402631,RABGGTA,CID44971,HisToGene
SCFD1,0.15752639359963577,SCFD1,CID44971,HisToGene
BAZ1A,0.17209428326650433,BAZ1A,CID44971,HisToGene
KLHDC2,0.21843413527577257,KLHDC2,CID44971,HisToGene
PSMA3,0.329858505714524,PSMA3,CID44971,HisToGene
PCNX4,0.16185604489265437,PCNX4,CID44971,HisToGene
DHRS7,0.2730139866282852,DHRS7,CID44971,HisToGene
MTHFD1,0.2325937247926724,MTHFD1,CID44971,HisToGene
FUT8,0.09763023577608505,FUT8,CID44971,HisToGene
COQ6,0.16195461963411706,COQ6,CID44971,HisToGene
FOS,-0.21145620394024056,FOS,CID44971,HisToGene
ZC3H14,0.13034477368979042,ZC3H14,CID44971,HisToGene
UBR7,0.12363664560109319,UBR7,CID44971,HisToGene
IFI27L2,0.12969986012751406,IFI27L2,CID44971,HisToGene
IGHG4,0.24526116238673112,IGHG4,CID44971,HisToGene
APBA2,0.13813777257643192,APBA2,CID44971,HisToGene
EMC4,0.4079369964104407,EMC4,CID44971,HisToGene
NUSAP1,0.18554811289174836,NUSAP1,CID44971,HisToGene
TUBGCP4,0.14438537673743718,TUBGCP4,CID44971,HisToGene
TP53BP1,0.17747999778488868,TP53BP1,CID44971,HisToGene
SPG11,0.03295890661314841,SPG11,CID44971,HisToGene
MYEF2,0.22617118405971853,MYEF2,CID44971,HisToGene
TMOD3,0.17100752671504885,TMOD3,CID44971,HisToGene
LEO1,0.09917948975424226,LEO1,CID44971,HisToGene
MYO5C,0.11536098602969554,MYO5C,CID44971,HisToGene
ARPP19,0.2776756358148449,ARPP19,CID44971,HisToGene
ADAM10,0.21365668242344937,ADAM10,CID44971,HisToGene
CCNB2,0.2614605293225085,CCNB2,CID44971,HisToGene
GTF2A2,0.2589422788206922,GTF2A2,CID44971,HisToGene
VPS13C,-0.10340275249232238,VPS13C,CID44971,HisToGene
C2CD4A,-0.038618067198118035,C2CD4A,CID44971,HisToGene
TPM1,-0.2089821164318064,TPM1,CID44971,HisToGene
CILP,0.20973015478846277,CILP,CID44971,HisToGene
ITGA11,0.013000880217953042,ITGA11,CID44971,HisToGene
UACA,0.05523973365053497,UACA,CID44971,HisToGene
RCN2,0.16203964295021966,RCN2,CID44971,HisToGene
PSTPIP1,-0.06443074001555489,PSTPIP1,CID44971,HisToGene
LINGO1,0.06764338945325385,LINGO1,CID44971,HisToGene
ISG20,0.04877119936780696,ISG20,CID44971,HisToGene
PRC1,0.20985689030175658,PRC1,CID44971,HisToGene
SNRPA1,0.3053859088411314,SNRPA1,CID44971,HisToGene
SBK1,0.23169866461582178,SBK1,CID44971,HisToGene
MT1G,0.19056662815301287,MT1G,CID44971,HisToGene
NUP93,0.32768567149112915,NUP93,CID44971,HisToGene
CX3CL1,-0.17874703862469424,CX3CL1,CID44971,HisToGene
CMTM3,-0.2669232249404797,CMTM3,CID44971,HisToGene
CBFB,0.3034056290222942,CBFB,CID44971,HisToGene
PRMT7,0.18379062467832935,PRMT7,CID44971,HisToGene
CDH1,0.3410539789791021,CDH1,CID44971,HisToGene
ZFHX3,0.1152378323488852,ZFHX3,CID44971,HisToGene
CFDP1,0.28009416927833336,CFDP1,CID44971,HisToGene
TERF2IP,0.2512332981566902,TERF2IP,CID44971,HisToGene
ITGAE,0.24301021807687476,ITGAE,CID44971,HisToGene
ALOX15B,-0.041734822575659115,ALOX15B,CID44971,HisToGene
TRPV2,-0.09528042969691174,TRPV2,CID44971,HisToGene
B9D1,0.1590736058124267,B9D1,CID44971,HisToGene
UNC119,0.2885733135750472,UNC119,CID44971,HisToGene
PIGS,0.1739988497339583,PIGS,CID44971,HisToGene
SPAG5,0.22707275451854408,SPAG5,CID44971,HisToGene
KIAA0100,0.17213640228147162,KIAA0100,CID44971,HisToGene
SDF2,0.19760594416647217,SDF2,CID44971,HisToGene
SUPT6H,0.10235399720466234,SUPT6H,CID44971,HisToGene
TRAF4,0.30100409358715075,TRAF4,CID44971,HisToGene
CPD,0.07443689454764543,CPD,CID44971,HisToGene
GOSR1,-0.05975331080601995,GOSR1,CID44971,HisToGene
RNF135,0.2574360331711128,RNF135,CID44971,HisToGene
CCL2,0.09744933393198361,CCL2,CID44971,HisToGene
SLFN5,-0.1766738715115424,SLFN5,CID44971,HisToGene
AP2B1,0.305073008759436,AP2B1,CID44971,HisToGene
ZNHIT3,0.2809516417665793,ZNHIT3,CID44971,HisToGene
MYO19,0.20387797871408087,MYO19,CID44971,HisToGene
GGNBP2,0.247766089061267,GGNBP2,CID44971,HisToGene
ACACA,0.27515203378519726,ACACA,CID44971,HisToGene
DDX52,0.21101122297899008,DDX52,CID44971,HisToGene
SOCS7,0.17576017504913113,SOCS7,CID44971,HisToGene
SRCIN1,-0.07615854715209115,SRCIN1,CID44971,HisToGene
MLLT6,0.20071345967560147,MLLT6,CID44971,HisToGene
PCGF2,0.07357496481530433,PCGF2,CID44971,HisToGene
PIP4K2B,0.1570939002691641,PIP4K2B,CID44971,HisToGene
CWC25,0.12092871724139259,CWC25,CID44971,HisToGene
LASP1,0.3334466013453752,LASP1,CID44971,HisToGene
LINC00672,0.013685451256939166,LINC00672,CID44971,HisToGene
MED1,0.17057869245057325,MED1,CID44971,HisToGene
PPP1R1B,0.04101002932996781,PPP1R1B,CID44971,HisToGene
PNMT,0.026911199312702843,PNMT,CID44971,HisToGene
CASC3,-0.2057765761509851,CASC3,CID44971,HisToGene
CDC6,0.16502630159963594,CDC6,CID44971,HisToGene
RARA,0.051312821317162305,RARA,CID44971,HisToGene
TOP2A,0.2768570903306323,TOP2A,CID44971,HisToGene
CCR7,0.011619174690184557,CCR7,CID44971,HisToGene
KRT15,0.06584312225986994,KRT15,CID44971,HisToGene
HSD17B1,0.15272032810372949,HSD17B1,CID44971,HisToGene
CNTD1,0.09098622538270465,CNTD1,CID44971,HisToGene
BECN1,0.24215170605444528,BECN1,CID44971,HisToGene
PSME3,0.33273373573971804,PSME3,CID44971,HisToGene
HOXB2,-0.08957755701585866,HOXB2,CID44971,HisToGene
HOXB7,0.03901050020129133,HOXB7,CID44971,HisToGene
UBE2Z,0.32918333460607646,UBE2Z,CID44971,HisToGene
ZNF652,0.0972399052776467,ZNF652,CID44971,HisToGene
SPOP,0.2173675633142575,SPOP,CID44971,HisToGene
SLC35B1,0.19543505880337833,SLC35B1,CID44971,HisToGene
FAM117A,0.1452510991298857,FAM117A,CID44971,HisToGene
PDK2,0.17795323434225988,PDK2,CID44971,HisToGene
EME1,0.09981614663021474,EME1,CID44971,HisToGene
TOB1,0.22897198069683933,TOB1,CID44971,HisToGene
TOM1L1,0.22197089601476608,TOM1L1,CID44971,HisToGene
CUEDC1,0.09957465972339999,CUEDC1,CID44971,HisToGene
VEZF1,0.16750636673184388,VEZF1,CID44971,HisToGene
RAD51C,0.22377886445706985,RAD51C,CID44971,HisToGene
CLTC,0.40849729777709465,CLTC,CID44971,HisToGene
PTRH2,0.20303633626180348,PTRH2,CID44971,HisToGene
DCAF7,0.25184756024104055,DCAF7,CID44971,HisToGene
CCDC47,0.288384150683587,CCDC47,CID44971,HisToGene
DDX42,0.192774098716771,DDX42,CID44971,HisToGene
DDX5,0.08431988911913907,DDX5,CID44971,HisToGene
CEP95,0.1730631082617738,CEP95,CID44971,HisToGene
SMURF2,0.14587594948860808,SMURF2,CID44971,HisToGene
CACNG4,0.002487550921021582,CACNG4,CID44971,HisToGene
HELZ,0.20081160634470469,HELZ,CID44971,HisToGene
PSMD12,0.3219857130851666,PSMD12,CID44971,HisToGene
NOL11,0.2334112850167382,NOL11,CID44971,HisToGene
KPNA2,0.3461983352308095,KPNA2,CID44971,HisToGene
AMZ2,0.2647176015681227,AMZ2,CID44971,HisToGene
ARSG,0.07780927114716715,ARSG,CID44971,HisToGene
WIPI1,0.09957367997421622,WIPI1,CID44971,HisToGene
SOX9,0.21134621128740216,SOX9,CID44971,HisToGene
SLC16A5,0.1002756893912077,SLC16A5,CID44971,HisToGene
QRICH2,0.119452472966495,QRICH2,CID44971,HisToGene
CANT1,0.27343225499115204,CANT1,CID44971,HisToGene
SECTM1,0.14616488150271364,SECTM1,CID44971,HisToGene
WDR45B,0.21592033185085024,WDR45B,CID44971,HisToGene
RAB31,-0.14220306169144492,RAB31,CID44971,HisToGene
RAB27B,0.060315760486581084,RAB27B,CID44971,HisToGene
TXNL1,0.4106533427963488,TXNL1,CID44971,HisToGene
SHC2,0.0658143970251043,SHC2,CID44971,HisToGene
AMH,0.1386579833544141,AMH,CID44971,HisToGene
JSRP1,0.07955084924176607,JSRP1,CID44971,HisToGene
TLE2,0.007629428746722334,TLE2,CID44971,HisToGene
CAPS,0.13138346703319156,CAPS,CID44971,HisToGene
ANGPTL4,-0.026902582502319507,ANGPTL4,CID44971,HisToGene
DNMT1,0.2913791254466835,DNMT1,CID44971,HisToGene
LDLR,0.2106179427689312,LDLR,CID44971,HisToGene
CILP2,-0.03085037863988084,CILP2,CID44971,HisToGene
POP4,0.20459815945419055,POP4,CID44971,HisToGene
CCNE1,0.15907220179310658,CCNE1,CID44971,HisToGene
PDCD5,0.4244192331782846,PDCD5,CID44971,HisToGene
FXYD3,0.13451088700254904,FXYD3,CID44971,HisToGene
SYNE4,0.16079571766111145,SYNE4,CID44971,HisToGene
ZNF146,0.2568046762880017,ZNF146,CID44971,HisToGene
SIPA1L3,0.2513636061437613,SIPA1L3,CID44971,HisToGene
MAP4K1,-0.1378439460108227,MAP4K1,CID44971,HisToGene
GMFG,-0.20011933611440968,GMFG,CID44971,HisToGene
ZFP36,-0.20578178670261382,ZFP36,CID44971,HisToGene
LYPD3,0.16181754507853122,LYPD3,CID44971,HisToGene
BCAM,0.17535505391593043,BCAM,CID44971,HisToGene
FOSB,-0.17816814401810538,FOSB,CID44971,HisToGene
BCL2L12,0.2786801433769991,BCL2L12,CID44971,HisToGene
ZNF480,0.14765574736711395,ZNF480,CID44971,HisToGene
SH3YL1,0.2562024565843591,SH3YL1,CID44971,HisToGene
RSAD2,-0.06869964016068086,RSAD2,CID44971,HisToGene
ID2,0.3603474814768822,ID2,CID44971,HisToGene
ASAP2,0.04290800447076367,ASAP2,CID44971,HisToGene
YWHAQ,0.41395976965481046,YWHAQ,CID44971,HisToGene
RRM2,0.3138716244931072,RRM2,CID44971,HisToGene
ODC1,-0.13970178153969023,ODC1,CID44971,HisToGene
TRIB2,0.24756917831397413,TRIB2,CID44971,HisToGene
DDX1,0.29418615054479225,DDX1,CID44971,HisToGene
SMC6,0.06879974510923034,SMC6,CID44971,HisToGene
