geneSymbols	corR	corS
TFF3	-0.187704	-0.185374
CD24	0.224598	0.247744
TTLL12	-0.117201	-0.119672
SPARC	-0.053424	-0.061633
B2M	-0.137261	-0.146153
ATP1A1	-0.151988	-0.166133
FASN	0.076165	0.087831
CD63	-0.125704	-0.148534
HSP90AB1	-0.195980	-0.203904
CD81	-0.014637	-0.027449
COX6C	-0.077352	-0.097327
CD74	0.031133	0.018397
